,Machine.Number.x,AnalysisUnit,Match_ID,Class,Order,Family,Genus,Species,IDConfidence,MNI,NISP,Context,Modification,Type,Original.Bib,Taxon.Bib,Comment.x,FaunalSeq,LocSeq.x,Machine.Number.y,Analysis.unit,SiteName,AlternateName,State.prov,County,Site.Number,CodedBy,DateCoded,CodingUpdate,Comment.y,Precision,Quadrangle,QuadSize,Township,Latitude,Longitude,Altitude,Repository,Bibnum,LATDD,LONGDD,RecoveryMethod,DepositionalSystem,DepositionalEnvironment,Facies,Mixing,Group,Formation,Member,Arch.Period,Arch.Epoch,Arch.Age,Arch.Land.Mammal.Age,Arch.Bibnum,Period,Epoch,Age,NALMA,Oxgen.isotope,Magnetochron,RepennMicrotineBioStrat,BellMicirotineBioStrata,MinimumAge,MinimumAge(Years),,MinimunAgeMethod,MaximumAge,MaximunAgeMethod,Millennium,SiteType,Agent,Cultural.Age,Bone.modification,LocSeq.y,DB
18,50,Grid A,50_Grid A,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,NA,NA, ,NA,NA,NA, ,0,0,50,Grid A,Zimmerman,,IL,LASALLE,,MAG,1/30/91 0:00,,,QP,STARVED ROCK,7.5,NA,41.15,-88.52,,ISM,NA,41.25,-88.86666667,CRSE,FL,,TE,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,1E-06,1,Present,CULT,5E-04,CULT,NA,CULT,HH,Historic,,0,f
46,140,Assemblage,140_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA,Listed as U.c. scotti,0,0,140,Assemblage,Williams Cave,,TX,CULBERSON,,MAG,4/24/91 0:00,,"Lundelius provided notes for locs. 1-3, surface",QA,GUADALUPE PEAK,7.5,NA,31.52,-104.45,1495,,NA,31.86666667,-104.75,,CV,RS,MN,Y,,,,NA,NA,WIHO,NA,NA,QUAT,HOPL,WIHO,,2-Jan,BRUN,,NA,1E-06,1,Present,BIOS,0.035,BIOS,NA,PALEO,PR,,,0,f
73,334,Bone Bed,334_Bone Bed,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,3,20,NA, ,NA,NA,NA, ,0,0,334,Bone Bed,Brynjulfson Cave #2,,MO,BOONE,,MKM,7/15/91 0:00,4/20/01 0:00,,QP,COLUMBIA,7.5,NA,38.52,-92.15,,,NA,38.86666667,-92.25,CRFI,CV,HZ,FL,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,1E-06,1,Present,STRA,0.00246,14CG,NA,CULT,"HH, CD, DN, RR",,HB,0,f
95,592,Units III and IV,592_Units III and IV,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,592,Units III and IV,Pictograph Cave,Inscription Cave,MT,YELLOWSTONE,24YL1,MAG,9/24/91 0:00,,,QA,SODA SPRINGS NW,7.5,NA,45.37,-108.22,,,NA,45.61666667,-108.3666667,CRSE,CV,HZ,,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,1E-06,1,Present,CULT,0.001,CULT,NA,CULT,HH,Historic,,0,f
115,801,Quinn et al excavation,801_Quinn et al excavation,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,801,Quinn et al excavation,Ten Mile Rock,,AR,WASHINGTON,3WA197,MAG,3/16/92 0:00,,,QA,SULPHUR CITY,7.5,NA,35.52,-94,,UARK,NA,35.86666667,-94,,FL,,,Y,,,,NA,NA,WIHO,NA,NA,QUAT,HOPL,WIHO,,2-Jan,BRUN,,NA,1E-06,1,Present,BIOS,0.035,BIOS,NA,CULT,,,,0,f
145,"1,050.00",Level 4,1050_Level 4,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,1050,Level 4,45AD2,,WA,ADAMS,45AD2,RFS,4/18/91 0:00,,,QA,RITZVILLE SW,7.5,NA,47,-118.22,,WSU,NA,47,-118.3666667,CRSE,CV,RS,OD,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,1E-06,1,Present,STRA,0.0035,CULT,NA,CULT,"HH, NA",Lower Snake River seq.,"TF, BN, HB",0,f
147,"1,056.00",Surface,1056_Surface,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA,BN,NA,NA,NA, ,0,0,1056,Surface,Stanton's Cave,,AZ,COCONINO,Ariz C:5:3,RFS,4/23/91 0:00,9/10/91 0:00,Site # is in the Grand Canyon scheme,E,NORTH CANYON POINT,7.5,NA,36.3,-111.5,927,,NA,36.5,-111.8333333,NOSC,CV,HZ,BS,Y,,,,NA,NA,WIHO,NA,NA,QUAT,HOPL,WIHO,,2-Jan,BRUN,,NA,1E-06,1,Present,STRA,0.0173,14CG,NA,CULT,"PR, RR, NA",Pinto Basin,RG,0,f
148,"1,057.00",Assemblage,1057_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,1057,Assemblage,Mineral Hill Cave,,NV,ELKO,,RFS,4/25/91 0:00,12/18/01 0:00,"No dates; ""L. Wisc./Holocene"" (Harris), Dates added 12/14/2001",QA,MINERAL HILL,7.5,NA,40.7,-116,,UCD,NA,40.11666667,-116,MESE,CV,HZ,BS,Y,,,,NA,NA,WIHO,NA,NA,QUAT,HOPL,WIHO,,2-Jan,BRUN,,NA,1E-06,1,Present,STRA,0.11,STRA,NA,PALEO,"PR, CD, NA",,LF,0,f
149,"1,145.00",Lower Cave Level 1,1145_Lower Cave Level 1,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,1,NA, ,NA,NA,NA, ,0,0,1145,Lower Cave Level 1,Ventana Cave,,AZ,PIMA,AZ Z:12:5,RFS,5/28/91 0:00,7/24/99 0:00,Previous codining up date 6/20/91,E,WINDOW MOUNTAIN,7.5,NA,32.2,-112.14,750,UALP,NA,32.33333333,-112.2333333,CRSE,CV,RS,,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,1E-06,1,Present,CULT,0.001,CULT,NA,CULT,HH,Historic; Hohokam,"HB, BN, BT",0,f
153,"1,145.00",Upper Cave Level 1,1145_Upper Cave Level 1,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,6,NA, ,NA,NA,NA, ,0,0,1145,Upper Cave Level 1,Ventana Cave,,AZ,PIMA,AZ Z:12:5,RFS,5/28/91 0:00,7/24/99 0:00,Previous codining up date 6/20/91,E,WINDOW MOUNTAIN,7.5,NA,32.2,-112.14,750,UALP,NA,32.33333333,-112.2333333,,,,,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,1E-06,1,Present,CULT,0.001,CULT,NA,CULT,HH,Hohokam; Historic,"HB, BN, BT",0,f
