"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Urocyon&show=coords"
"Access Time","Thu 2023-05-18 04:31:14 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Urocyon"
"","timerule","major"
"","taxon_status","all"
"","show","coords"
"Elapsed Time","0.00711"
"Records Found","60"
"Records Returned","60"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"188220","occ","30171","","18601","Urocyon n. sp. webbi","species","300801","","Urocyon webbi","species","300801","Hemphillian","","10.3","4.9","52058","-82.316666","28.799999"
"193270","occ","30172","","19656","Urocyon n. sp. galushai","species","300802","","Urocyon galushai","species","300802","Blancan","","4.9","1.8","52058","-109.599998","33.000000"
"194252","occ","8757","","19927","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Blancan","","4.9","1.8","6294","-100.300003","37.200001"
"194411","occ","","","19936","Urocyon progressus","species","52597","","Urocyon progressus","species","52597","Blancan","","4.9","1.8","1894","-100.300003","37.200001"
"195147","occ","30173","","20051","Urocyon galushai","species","300802","","Urocyon galushai","species","300802","Blancan","","4.9","1.8","52058","-105.199997","31.500000"
"195217","occ","30174","","20060","Urocyon galushai","species","300802","","Urocyon galushai","species","300802","Blancan","","4.9","1.8","52058","-100.916664","32.716667"
"195460","occ","","","20102","Urocyon sp.","genus","41247","","Urocyon","genus","41247","Blancan","","4.9","1.8","1186","-117.099998","32.900002"
"195742","occ","30175","","20122","Urocyon galushai","species","300802","","Urocyon galushai","species","300802","Blancan","","4.9","1.8","52058","-117.099998","32.900002"
"196733","occ","","","20283","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Irvingtonian","","1.8","0.3","2607","-102.300003","21.799999"
"196817","occ","30177","","20289","Urocyon n. sp. minicephalus","species","52596","","Urocyon minicephalus","species","52596","Irvingtonian","","1.8","0.3","52058","-82.070274","28.799168"
"196845","occ","9346","","20290","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Irvingtonian","","1.8","0.3","6221","-93.199997","36.000000"
"197328","occ","","","20323","cf. Urocyon sp.","genus","41247","","Urocyon","genus","41247","Irvingtonian","Rancholabrean","1.8","0.012","2018","-117.800003","33.599998"
"197621","occ","","","20354","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Irvingtonian","","1.8","0.3","1727","-77.199997","39.799999"
"197793","occ","30176","","20384","Urocyon n. sp. citrinus","species","300803","","Urocyon citrinus","species","300803","Gelasian","","2.588","1.806","52058","-82.680000","29.000000"
"197822","occ","","","20385","Urocyon sp.","genus","41247","","Urocyon","genus","41247","Irvingtonian","","1.8","0.3","3872","-82.668053","29.011944"
"197992","occ","9611","","20400","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Irvingtonian","","1.8","0.3","1063","-82.500000","27.700001"
"198477","occ","","","20477","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Irvingtonian","","1.8","0.3","949","-105.699997","39.299999"
"198514","occ","","","20479","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Irvingtonian","","1.8","0.3","1628","-75.300003","40.200001"
"198605","occ","","","20491","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Rancholabrean","","0.3","0.012","3580","-82.300003","29.100000"
"198699","occ","","","20500","Urocyon sp.","genus","41247","","Urocyon","genus","41247","Irvingtonian","","1.8","0.3","1916","-102.500000","42.700001"
"199127","occ","","","20559","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Irvingtonian","","1.8","0.3","949","-105.699997","39.299999"
"199308","occ","","","20573","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","3580","-82.416664","29.600000"
"199427","occ","","","20594","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","3567","-82.099998","29.799999"
"199489","occ","","","20600","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","2727","-86.500000","39.000000"
"199809","occ","","","20634","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","3567","-82.300003","29.100000"
"199866","occ","","","20638","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","3567","-82.199997","28.799999"
"199950","occ","","","20644","Urocyon sp.","genus","41247","","Urocyon","genus","41247","Late Pleistocene","","0.126","0.0117","2018","-120.400002","36.099998"
"398244","occ","","","13066","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","10274","-84.800003","34.200001"
"608455","occ","","","20636","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","18730","-81.449997","28.716667"
"610350","occ","","","65405","Urocyon cf. cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Pleistocene","","2.588","0.0117","18853","-80.292503","32.559166"
"683958","occ","","","73752","Urocyon cf. cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","2588","-117.987503","33.895279"
"691159","occ","","","74470","Urocyon cf. cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","24979","-95.050003","29.566668"
"709950","occ","","","76059","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","25748","-104.449997","32.366669"
"710050","occ","","","76060","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","25748","-108.400002","31.566668"
"740512","occ","22614","","79630","Urocyon cf. cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","31458","-119.516670","34.400002"
"788281","occ","","","85144","Urocyon sp.","genus","41247","","Urocyon","genus","41247","Late Pleistocene","","0.126","0.0117","28649","-110.650002","36.566666"
