spec,longitude,latitude
Urocyon cinereoargenteus,-108.7827884203,29.0029299643
Urocyon cinereoargenteus,-108.0445818084,29.7088075099
Urocyon cinereoargenteus,-101.692364595,22.7191647282
Urocyon cinereoargenteus,-120.6883703917,35.4946888582
Urocyon cinereoargenteus,-84.400955,33.779586
Urocyon cinereoargenteus,-98.6911591212,29.2395774505
Urocyon cinereoargenteus,-79.4698643312,37.8807570009
Urocyon cinereoargenteus,-69.9851733318,43.8844434239
Urocyon cinereoargenteus,-99.1328338534,18.9736915059
Urocyon cinereoargenteus,-89.142075,17.0903528333
Urocyon cinereoargenteus,-98.4693000526,30.7904360064
Urocyon cinereoargenteus,-116.649107862,35.8824183683
Urocyon cinereoargenteus,-121.0764324895,40.2414902006
Urocyon cinereoargenteus,-108.0716964238,29.2719690925
Urocyon cinereoargenteus,-85.5014013872,30.1817675023
Urocyon cinereoargenteus,-96.5652671456,33.2101147602
Urocyon cinereoargenteus,-80.1929574582,32.7983030141
Urocyon cinereoargenteus,-90.7868393224,35.0132037578
Urocyon cinereoargenteus,-112.0344009397,28.8790416717
Urocyon cinereoargenteus,-89.2202818394,13.6802515958
Urocyon cinereoargenteus,-122.6075062,41.5942974
Urocyon cinereoargenteus,-105.8406012803,35.1758229891
Urocyon cinereoargenteus,-102.5971837854,21.4878433961
Urocyon cinereoargenteus,-100.4491182044,22.8971275762
Urocyon cinereoargenteus,-120.6216609564,40.362378827
Urocyon cinereoargenteus,-102.3889121271,21.0967784397
Urocyon cinereoargenteus,-120.8858350523,39.53907659
Urocyon cinereoargenteus,-79.3233350107,42.1358733578
Urocyon cinereoargenteus,-78.5471290634,39.1391357276
Urocyon cinereoargenteus,-97.8408639007,30.6386052985
Urocyon cinereoargenteus,-105.3455332976,20.3387691265
Urocyon cinereoargenteus,-123.3751114347,44.3650447556
Urocyon cinereoargenteus,-90.631398483,31.2025224946
Urocyon cinereoargenteus,-110.2407805556,23.4430666667
Urocyon cinereoargenteus,-99.2670688689,30.8119708045
Urocyon cinereoargenteus,-70.6488003765,44.2889490634
Urocyon cinereoargenteus,-104.3365110997,33.1881461997
Urocyon cinereoargenteus,-97.5993416667,31.6994777778
Urocyon cinereoargenteus,-111.8224662915,34.8899874511
Urocyon cinereoargenteus,-99.0713457841,28.9448124866
Urocyon cinereoargenteus,-83.5654053,44.16510881
Urocyon cinereoargenteus,-105.6849735975,23.0862063938
Urocyon cinereoargenteus,-111.4491854712,33.9599279016
Urocyon cinereoargenteus,-99.6385645015,24.9684293792
Urocyon cinereoargenteus,-78.4217216667,36.3378033333
Urocyon cinereoargenteus,-75.9774699243,38.5824793086
Urocyon cinereoargenteus,-110.3149971468,24.0448976297
Urocyon cinereoargenteus,-101.8654740974,34.9794876694
Urocyon cinereoargenteus,-99.4329874571,16.7732192044
Urocyon cinereoargenteus,-104.6865672118,35.0364214125
Urocyon cinereoargenteus,-81.3789269,28.5383832
Urocyon cinereoargenteus,-98.936325,18.542695
Urocyon cinereoargenteus,-97.0284361111,29.2231055556
Urocyon cinereoargenteus,-110.3166411393,24.3562179104
Urocyon cinereoargenteus,-105.2270532004,40.3847222897
Urocyon cinereoargenteus,-101.1863116667,30.458155
Urocyon cinereoargenteus,-110.6962365618,38.2604708353
Urocyon cinereoargenteus,-101.0587031971,25.1263180451
Urocyon cinereoargenteus,-103.962383531,23.6808072066
Urocyon cinereoargenteus,-88.3609268271,16.5367970977
Urocyon cinereoargenteus,-89.6109519693,17.2260828231
Urocyon cinereoargenteus,-96.2481747195,19.2361339136
Urocyon cinereoargenteus,-97.3442673488,32.5286729408
Urocyon cinereoargenteus,-80.5571114456,35.3527155142
Urocyon cinereoargenteus,-104.3220266125,19.7655441854
Urocyon cinereoargenteus,-85.8116552638,34.9807161775
Urocyon cinereoargenteus,-85.665894,9.965486
Urocyon cinereoargenteus,-100.886305,29.3654633333
Urocyon cinereoargenteus,-121.586106792,40.3484716396
Urocyon cinereoargenteus,-79.3283992707,38.2731866483
Urocyon cinereoargenteus,-72.9637188172,43.5769143375
Urocyon cinereoargenteus,-84.819595,37.2168
Urocyon cinereoargenteus,-104.6275751637,33.3941656321
Urocyon cinereoargenteus,-102.1028459072,20.9374936654
Urocyon cinereoargenteus,-102.4344613148,28.7122308412
Urocyon cinereoargenteus,-87.6163512232,21.3217397718
Urocyon cinereoargenteus,-108.9462966667,27.0187606667
Urocyon cinereoargenteus,-85.6415413419,9.3216424969
Urocyon cinereoargenteus,-87.552955,20.1671783333
Urocyon cinereoargenteus,-96.3953399444,18.8346252222
Urocyon cinereoargenteus,-97.9454753269,29.8886474362
Urocyon cinereoargenteus,-92.2486233115,47.4239382353
Urocyon cinereoargenteus,-76.3401030071,36.3734581722
Urocyon cinereoargenteus,-113.1010969,28.0750199
Urocyon cinereoargenteus,-75.4364349567,38.6843394332
Urocyon cinereoargenteus,-106.4694502402,36.2566139116
Urocyon cinereoargenteus,-105.914895,32.7474533333
Urocyon cinereoargenteus,-79.5986724637,35.1457837359
Urocyon cinereoargenteus,-89.900236,18.5534409722
Urocyon cinereoargenteus,-111.0597165313,33.8860175186
Urocyon cinereoargenteus,-91.4256377487,31.4945063227
Urocyon cinereoargenteus,-76.4950444215,42.4880025161
Urocyon cinereoargenteus,-98.8652617112,23.0166016642
Urocyon cinereoargenteus,-106.0349797457,24.820674104
Urocyon cinereoargenteus,-84.9615444444,30.5415194444
Urocyon cinereoargenteus,-120.0624345344,38.2522413195
Urocyon cinereoargenteus,-99.5364543495,29.2414686343
Urocyon cinereoargenteus,-74.8481459168,39.5282835187
Urocyon cinereoargenteus,-89.4023558075,17.0762673241
Urocyon cinereoargenteus,-87.7299270628,21.5211486814
Urocyon cinereoargenteus,-73.319404403,5.1272259993
Urocyon cinereoargenteus,-102.1360448265,17.9801169945
Urocyon cinereoargenteus,-86.7790966225,33.1986590067
Urocyon cinereoargenteus,-100.3428109559,29.8623079324
Urocyon cinereoargenteus,-79.2429266756,41.2745205902
Urocyon cinereoargenteus,-99.5567180961,20.4868094147
Urocyon cinereoargenteus,-103.9838790833,19.5688972222
Urocyon cinereoargenteus,-93.0160678728,30.7699879559
